,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
0,Hyundai Santro Xing GL,Bengaluru,2008,"41,350",Petrol,2nd,"2,17,099"
1,Maruti Alto K10 VXI,Bengaluru,2011,"38,847",Petrol,2nd,"2,47,099"
2,Maruti Alto LXI,Bengaluru,2010,"32,291",Petrol,1st,"2,27,199"
3,Tata Nano XT TWIST,Bengaluru,2015,"13,978",Petrol,1st,"1,75,099"
4,Maruti Alto 800 LXI,Bengaluru,2013,"35,165",Petrol,2nd,"2,56,199"
5,Tata Nano XT TWIST,Bengaluru,2014,"25,514",Petrol,1st,"1,81,599"
6,Maruti Swift VXI,Bengaluru,2015,"26,447",Petrol,1st,"5,31,699"
7,Tata Nano XT TWIST,Bengaluru,2015,"21,822",Petrol,2nd,"1,91,199"
8,Hyundai i10 MAGNA 1.1 IRDE2,Bengaluru,2008,"70,527",Petrol,2nd,"2,70,999"
9,Maruti Wagon R 1.0 VXI,Bengaluru,2016,"23,213",Petrol,1st,"4,17,299"
10,Maruti Celerio VXI AMT,Bengaluru,2014,"26,028",Petrol,1st,"4,18,899"
11,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Bengaluru,2014,"26,578",Petrol,1st,"4,88,999"
12,Tata Nano XT TWIST,Bengaluru,2014,"34,394",Petrol,1st,"1,70,199"
13,Maruti Alto K10 VXI,Bengaluru,2012,"36,453",Petrol,1st,"2,84,099"
14,Hyundai i20 SPORTZ 1.2 O,Bengaluru,2010,"42,056",Petrol,2nd,"3,70,399"
15,Honda Brio 1.2 S MT I VTEC,Bengaluru,2015,"32,984",Petrol,2nd,"4,51,599"
16,Maruti Wagon R 1.0 VXI,Bengaluru,2012,"29,425",Petrol,2nd,"3,06,999"
17,Volkswagen Polo COMFORTLINE 1.2L PETROL,Bengaluru,2017,"20,632",Petrol,1st,"6,26,899"
18,Maruti Alto LXI,Bengaluru,2011,"17,001",Petrol,1st,"2,73,799"
19,Hyundai i10 SPORTZ 1.2,Bengaluru,2010,"40,198",Petrol,2nd,"3,18,899"
20,Hyundai i20 MAGNA O 1.2,Bengaluru,2010,"47,596",Petrol,1st,"3,43,399"
21,Hyundai i10 MAGNA 1.2,Bengaluru,2008,"62,730",Petrol,3rd,"2,39,199"
22,Maruti Alto K10 VXI,Bengaluru,2011,"39,169",Petrol,1st,"2,70,699"
23,Tata Nano XT TWIST,Bengaluru,2014,"23,494",Petrol,2nd,"1,87,999"
24,Hyundai i10 SPORTZ 1.2 KAPPA2,Bengaluru,2011,"73,911",Petrol,2nd,"3,11,299"
25,Hyundai Santro Xing GL PLUS,Bengaluru,2011,"10,252",Petrol,1st,"3,01,699"
26,Maruti Alto 800 LXI,Bengaluru,2012,"40,911",Petrol,2nd,"2,50,099"
27,Hyundai i20 SPORTZ 1.2 O,Bengaluru,2011,"24,700",Petrol,2nd,"3,87,099"
28,Maruti A Star VXI ABS AT,Bengaluru,2011,"22,465",Petrol,2nd,"2,92,799"
29,Tata Nano XT TWIST,Bengaluru,2014,"38,527",Petrol,1st,"1,70,299"
30,Chevrolet Spark LS 1.0,Bengaluru,2009,"20,028",Petrol,1st,"1,93,299"
31,Maruti Ritz VXI BS IV,Bengaluru,2011,"34,804",Petrol,1st,"4,09,499"
32,Hyundai i20 SPORTZ 1.2 O,Bengaluru,2011,"45,165",Petrol,2nd,"3,93,599"
33,Maruti Eeco 5 STR WITH AC PLUSHTR,Bengaluru,2019,"5,711",Petrol,1st,"4,96,399"
34,Maruti Wagon R 1.0 LXI,Bengaluru,2010,"54,397",Petrol,2nd,"2,79,199"
35,Hyundai Eon D LITE PLUS,Bengaluru,2014,"31,287",Petrol,3rd,"2,72,599"
36,Hyundai i10 MAGNA 1.2 KAPPA2,Bengaluru,2010,"25,571",Petrol,1st,"3,42,699"
37,Maruti Alto 800 LXI,Bengaluru,2012,"24,679",Petrol,3rd,"2,31,399"
38,Maruti Celerio VXI,Bengaluru,2016,"30,947",Petrol,2nd,"4,43,499"
39,Maruti Alto K10 VXI,Bengaluru,2014,"32,647",Petrol,1st,"3,58,399"
40,Maruti Alto K10 VXI,Bengaluru,2016,"9,893",Petrol,1st,"3,50,499"
41,Toyota Etios VD,Bengaluru,2013,"60,472",Diesel,2nd,"4,68,899"
42,Maruti Alto LXI,Bengaluru,2012,"25,985",Petrol,1st,"2,91,699"
43,Maruti Alto LXI,Bengaluru,2012,"17,312",Petrol,1st,"2,31,399"
44,Maruti Ritz LXI,Bengaluru,2011,"27,561",Petrol,2nd,"3,35,499"
45,Hyundai i10 ERA 1.1 IRDE,Bengaluru,2012,"22,030",Petrol,1st,"3,07,399"
46,Maruti OMNI E STD,Bengaluru,2014,"30,698",Petrol,1st,"3,00,499"
47,Hyundai i10 ERA 1.1 IRDE,Bengaluru,2012,"39,970",Petrol,2nd,"3,42,899"
48,Hyundai i10 SPORTZ 1.2 AT KAPPA2,Bengaluru,2013,"14,965",Petrol,1st,"4,60,799"
49,Hyundai i10 SPORTZ 1.2 KAPPA2,Bengaluru,2012,"23,439",Petrol,1st,"3,98,399"
50,Ford Figo 1.4 EXI DURATORQ,Bengaluru,2013,"48,229",Diesel,2nd,"2,95,299"
51,Maruti Alto K10 LXI,Bengaluru,2011,"42,935",Petrol,2nd,"2,25,999"
52,Maruti Alto K10 LXI,Bengaluru,2012,"10,801",Petrol,1st,"3,01,699"
53,Maruti Zen Estilo VXI,Bengaluru,2011,"43,511",Petrol,3rd,"2,39,299"
54,Toyota Etios G,Bengaluru,2012,"30,224",Petrol,2nd,"4,01,599"
55,Hyundai Eon MAGNA PLUS,Bengaluru,2014,"24,024",Petrol,3rd,"3,09,999"
56,Maruti Ertiga VXI SMART HYBRID,Bengaluru,2020,"7,125",Petrol,1st,"8,54,899"
57,Maruti Alto K10 VXI,Bengaluru,2011,"70,996",Petrol,1st,"2,42,699"
58,Hyundai i10 SPORTZ 1.2 KAPPA2,Bengaluru,2011,"39,213",Petrol,1st,"3,80,499"
59,Maruti Alto K10 VXI,Bengaluru,2014,"34,163",Petrol,2nd,"3,52,899"
60,Hyundai i10 ERA 1.1 IRDE,Bengaluru,2012,"52,419",Petrol,2nd,"3,15,299"
61,Hyundai Eon ERA PLUS,Bengaluru,2016,"19,484",Petrol,1st,"3,22,199"
62,Hyundai Eon MAGNA PLUS,Bengaluru,2012,"37,867",Petrol,2nd,"2,82,999"
63,Maruti A Star VXI,Bengaluru,2010,"25,549",Petrol,1st,"2,63,899"
64,Toyota Etios Liva G,Bengaluru,2011,"33,609",Petrol,1st,"3,99,899"
65,Maruti Swift VDI,Bengaluru,2012,"66,612",Diesel,1st,"4,11,899"
66,Hyundai Eon ERA PLUS,Bengaluru,2015,"23,614",Petrol,2nd,"2,93,499"
67,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Bengaluru,2014,"28,276",Petrol,2nd,"4,64,999"
68,Maruti Alto LXI,Bengaluru,2012,"16,071",Petrol,2nd,"2,86,899"
69,Hyundai i10 SPORTZ 1.2 KAPPA2,Bengaluru,2012,"34,162",Petrol,1st,"3,21,699"
70,Tata Nano TWIST XTA,Bengaluru,2016,"19,280",Petrol,2nd,"2,37,299"
71,Hyundai i20 MAGNA O 1.2,Bengaluru,2011,"35,585",Petrol,1st,"3,91,899"
72,Maruti Alto LXI,Bengaluru,2011,"42,491",Petrol,1st,"2,69,399"
73,Hyundai i10 SPORTZ 1.2,Bengaluru,2010,"49,583",Petrol,1st,"3,42,299"
74,Maruti Alto LXI,Bengaluru,2011,"47,876",Petrol,2nd,"2,52,299"
75,Maruti Alto K10 LXI,Bengaluru,2013,"26,293",Petrol,2nd,"3,02,099"
76,Maruti Eeco 5 STR WITH AC PLUSHTR,Bengaluru,2017,"7,287",Petrol,1st,"4,24,899"
77,Maruti Eeco 5 STR WITH AC PLUSHTR,Bengaluru,2012,"33,267",Petrol,2nd,"3,61,699"
78,Maruti Zen Estilo LXI,Bengaluru,2010,"40,225",Petrol,2nd,"2,06,899"
79,Maruti Alto LXI,Bengaluru,2008,"45,476",Petrol,1st,"1,88,599"
80,Maruti Alto LXI,Bengaluru,2010,"28,345",Petrol,1st,"2,15,099"
81,Maruti Wagon R 1.0 VXI,Bengaluru,2010,"22,696",Petrol,1st,"3,32,299"
82,Maruti Alto 800 LXI,Bengaluru,2013,"41,967",Petrol,3rd,"2,35,899"
83,Maruti Alto 800 VXI,Bengaluru,2016,"34,081",Petrol,1st,"3,15,199"
84,Maruti Eeco 5 STR WITH AC PLUSHTR,Bengaluru,2015,"36,647",Petrol,1st,"3,73,799"
85,Maruti Wagon R 1.0 VXI,Bengaluru,2011,"65,270",Petrol,1st,"3,39,899"
86,Hyundai Santro Xing GL PLUS,Bengaluru,2011,"16,261",Petrol,1st,"3,14,799"
87,Datsun Redi Go 1.0 S AT,Bengaluru,2018,"26,739",Petrol,2nd,"3,37,999"
88,Maruti Alto 800 LXI,Bengaluru,2013,"22,219",Petrol,2nd,"2,76,499"
89,Maruti Alto 800 LXI,Bengaluru,2018,"11,241",Petrol,1st,"3,35,499"
90,Maruti Wagon R 1.0 VXI,Bengaluru,2011,"23,688",Petrol,2nd,"3,30,799"
91,Maruti Wagon R 1.0 VXI,Bengaluru,2016,"16,989",Petrol,2nd,"4,39,299"
92,Maruti Alto LXI,Bengaluru,2010,"36,141",Petrol,1st,"2,48,499"
93,Hyundai i20 SPORTZ 1.2 O,Bengaluru,2010,"53,506",Petrol,3rd,"3,29,199"
94,Maruti Celerio VXI,Bengaluru,2016,"7,113",Petrol,1st,"4,51,699"
95,Chevrolet Spark LS 1.0 LPG,Bengaluru,2010,"42,663",Petrol + LPG,1st,"1,80,399"
96,Maruti Swift VXI,Bengaluru,2012,"63,009",Petrol,1st,"4,55,299"
97,Maruti Swift Dzire VXI 1.2 BS IV,Bengaluru,2011,"40,461",Petrol,2nd,"3,96,199"
98,Hyundai i10 SPORTZ 1.2,Bengaluru,2009,"35,925",Petrol,1st,"3,07,199"
99,Maruti Wagon R 1.0 VXI,Bengaluru,2013,"46,248",Petrol,1st,"3,75,699"
100,Chevrolet Beat PS DIESEL,Bengaluru,2011,"44,346",Diesel,1st,"2,77,699"
101,Chevrolet Beat LT PETROL,Bengaluru,2010,"33,225",Petrol,2nd,"2,27,199"
102,Renault Pulse RX L PETROL,Bengaluru,2016,"30,523",Petrol,1st,"3,63,899"
103,Hyundai i10 SPORTZ 1.1 IRDE2,Bengaluru,2015,"23,841",Petrol,1st,"4,43,099"
104,Maruti Alto LXI,Bengaluru,2010,"47,758",Petrol,1st,"2,49,099"
105,Maruti Ritz VXI BS IV,Bengaluru,2014,"52,410",Petrol,1st,"4,11,599"
106,Hyundai i10 MAGNA 1.2 KAPPA2,Bengaluru,2011,"61,322",Petrol,1st,"3,24,699"
107,Maruti OMNI E 8 STR,Bengaluru,2017,"28,486",Petrol,2nd,"3,17,799"
108,Datsun Go T,Bengaluru,2015,"30,569",Petrol,1st,"3,67,199"
109,Maruti Alto K10 VXI,Bengaluru,2010,"42,705",Petrol,2nd,"2,49,199"
