,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
0,Hyundai NEW SANTRO 1.1 SPORTS AMT,Chandigarh,2020,"4,369",Petrol,1st,"5,87,199"
1,Maruti Alto K10 LXI,Chandigarh,2012,"46,703",Petrol,1st,"2,37,299"
2,Maruti Alto LXI,Chandigarh,2020,"3,942",Petrol,1st,"3,87,099"
3,Hyundai Elite i20 ASTA 1.2,Chandigarh,2018,"19,013",Petrol,2nd,"6,43,799"
4,Maruti Alto K10 VXI,Chandigarh,2016,"18,003",Petrol,1st,"3,20,099"
5,Maruti Alto K10 VXI AMT,Chandigarh,2016,"2,26,232",Petrol,1st,"3,08,099"
6,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Chandigarh,2016,"60,011",Petrol,1st,"3,82,999"
7,Hyundai Eon D LITE PLUS,Chandigarh,2013,"49,817",Petrol,1st,"2,11,399"
8,Maruti Alto K10 VXI,Chandigarh,2010,"63,718",Petrol,2nd,"1,99,499"
9,Maruti Swift VXI,Chandigarh,2017,"24,813",Petrol,1st,"5,36,299"
10,Hyundai NEW SANTRO 1.1 MAGNA MT,Chandigarh,2019,"8,632",Petrol,1st,"4,30,599"
11,Maruti Alto K10 VXI,Chandigarh,2018,"34,323",Petrol,2nd,"3,54,299"
12,Honda City S MT PETROL,Chandigarh,2010,"76,740",Petrol,3rd,"3,04,599"
13,Hyundai Elite i20 Magna Executive 1.2,Chandigarh,2017,"77,341",Petrol,3rd,"4,37,099"
14,Maruti Alto LXI,Chandigarh,2019,"41,638",Petrol,1st,"3,45,899"
15,Toyota Innova Crysta 2.8 GX AT 7 STR,Chandigarh,2019,"30,729",Diesel,1st,"17,30,399"
16,Maruti Swift VDI ABS,Chandigarh,2017,"35,172",Diesel,1st,"4,98,699"
17,Maruti Swift VXI,Chandigarh,2015,"62,241",Petrol,2nd,"4,09,599"
18,Maruti Alto K10 VXI,Chandigarh,2017,"1,06,867",Petrol,1st,"3,63,699"
19,Maruti Swift ZDI,Chandigarh,2012,"1,05,358",Diesel,3rd,"3,72,199"
20,Maruti Alto K10 VXI,Chandigarh,2017,"57,500",Petrol,1st,"3,19,999"
21,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Chandigarh,2014,"86,663",Petrol,1st,"3,81,999"
22,Maruti Vitara Brezza VDI,Chandigarh,2017,"79,275",Diesel,1st,"6,97,499"
23,Maruti Vitara Brezza VDI,Chandigarh,2017,"69,639",Diesel,2nd,"6,45,999"
24,Maruti Swift Dzire VDI ABS,Chandigarh,2016,"78,339",Diesel,2nd,"5,30,799"
25,Hyundai Elite i20 SPORTZ 1.4,Chandigarh,2016,"1,09,448",Diesel,1st,"4,49,699"
26,Maruti Swift VDI,Chandigarh,2013,"1,04,098",Diesel,1st,"3,61,399"
27,Jeep Compass 2.0 SPORT,Chandigarh,2019,"44,585",Diesel,2nd,"11,15,399"
28,Honda Amaze 1.2 VXMT I VTEC,Chandigarh,2013,"1,47,498",Petrol,1st,"3,09,099"
29,Maruti Dzire VDI,Chandigarh,2018,"93,652",Diesel,1st,"6,17,399"
30,Hyundai Creta 1.6 SX CRDI,Chandigarh,2016,"1,99,241",Diesel,1st,"7,40,999"
31,Toyota Etios GD,Chandigarh,2015,"1,84,158",Diesel,1st,"3,66,599"
32,Toyota Etios GD,Chandigarh,2012,"2,12,989",Diesel,1st,"2,38,999"
33,Toyota Fortuner 3.0 MT 4X4,Chandigarh,2012,"96,301",Diesel,2nd,"9,86,099"
34,Maruti Alto LXI,Chandigarh,2008,"21,728",Petrol,2nd,"1,37,699"
35,Maruti Vitara Brezza VDI OPT,Chandigarh,2017,"52,351",Diesel,1st,"6,88,099"
36,Maruti Alto K10 VXI OPT,Chandigarh,2016,"67,755",Petrol,1st,"2,83,399"
