,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
0,Hyundai i10 MAGNA 1.2 KAPPA2,Chennai,2013,"27,553",Petrol,1st,"3,60,799"
1,Maruti Alto K10 LXI,Chennai,2010,"33,888",Petrol,1st,"2,27,399"
2,Maruti Alto K10 LXI,Chennai,2010,"42,198",Petrol,1st,"2,19,599"
3,Hyundai NEW SANTRO 1.1 SPORTS AMT,Chennai,2019,"3,243",Petrol,1st,"5,54,599"
4,Hyundai i10 MAGNA 1.2 KAPPA2,Chennai,2011,"13,018",Petrol,1st,"3,14,999"
5,Maruti Alto LXI,Chennai,2011,"17,463",Petrol,1st,"2,69,599"
6,Maruti Alto LXI,Chennai,2011,"23,217",Petrol,1st,"2,55,299"
7,Maruti Alto LXI,Chennai,2012,"42,251",Petrol,1st,"2,50,399"
8,Maruti Alto LXI,Chennai,2011,"21,809",Petrol,1st,"2,62,799"
9,Hyundai Eon MAGNA PLUS,Chennai,2014,"22,373",Petrol,1st,"2,91,299"
10,Hyundai i10 MAGNA 1.1 IRDE2,Chennai,2014,"35,571",Petrol,1st,"3,59,899"
11,Maruti OMNI E 8 STR,Chennai,2017,"1,193",Petrol,1st,"3,63,999"
12,Hyundai Eon MAGNA PLUS,Chennai,2016,"9,444",Petrol,2nd,"3,33,399"
13,Maruti Alto K10 VXI AMT,Chennai,2016,"19,487",Petrol,1st,"3,70,799"
14,Maruti Alto K10 VXI AMT,Chennai,2015,"19,070",Petrol,2nd,"3,42,399"
15,Renault Kwid 1.0 RXT,Chennai,2017,"20,626",Petrol,1st,"3,74,899"
16,Hyundai Santro Xing GL PLUS,Chennai,2011,"22,390",Petrol,1st,"2,59,599"
17,Maruti Eeco 5 STR WITH AC PLUSHTR,Chennai,2015,"26,260",Petrol,2nd,"3,70,399"
18,Toyota Etios Liva G,Chennai,2011,"20,014",Petrol,1st,"3,67,699"
19,Maruti Wagon R 1.0 VXI,Chennai,2011,"45,714",Petrol,2nd,"3,09,999"
20,Maruti Alto K10 VXI,Chennai,2013,"16,288",Petrol,2nd,"2,94,499"
21,Maruti Wagon R 1.0 VXI,Chennai,2012,"38,553",Petrol,1st,"3,19,899"
22,Maruti Wagon R 1.0 VXI,Chennai,2012,"41,152",Petrol,1st,"3,01,399"
23,Hyundai i20 Active 1.2 S,Chennai,2015,"23,853",Petrol,1st,"5,76,899"
24,Maruti Wagon R 1.0 VXI,Chennai,2011,"20,241",Petrol,2nd,"3,55,999"
25,Honda Amaze 1.2 VXMT I VTEC,Chennai,2013,"10,960",Petrol,2nd,"4,26,099"
26,Maruti Alto 800 LXI OPT,Chennai,2018,"3,863",Petrol,1st,"3,63,299"
27,Hyundai Eon ERA PLUS,Chennai,2014,"34,968",Petrol,2nd,"2,58,599"
28,Maruti Alto 800 LXI,Chennai,2015,"22,321",Petrol,1st,"2,96,199"
29,Maruti Alto LXI,Chennai,2011,"40,146",Petrol,1st,"1,93,699"
30,Renault Kwid RXT,Chennai,2015,"46,226",Petrol,2nd,"3,49,399"
31,Maruti Alto K10 VXI,Chennai,2011,"43,930",Petrol,2nd,"2,44,499"
32,Maruti Eeco 5 STR WITH AC PLUS HTR,Chennai,2016,"29,906",Petrol,1st,"3,72,699"
33,Hyundai Santro Xing GL PLUS,Chennai,2012,"28,295",Petrol,1st,"2,98,599"
34,Maruti Wagon R 1.0 VXI,Chennai,2014,"24,663",Petrol,1st,"3,73,999"
35,Maruti Swift VXI,Chennai,2014,"27,070",Petrol,1st,"4,62,599"
36,Renault Kwid RXT,Chennai,2015,"20,852",Petrol,1st,"3,02,399"
37,Honda Brio 1.2 S MT I VTEC,Chennai,2012,"43,690",Petrol,1st,"3,41,299"
38,Hyundai Eon ERA PLUS,Chennai,2016,"25,086",Petrol,1st,"3,50,799"
39,Hyundai Eon D LITE PLUS,Chennai,2015,"32,440",Petrol,1st,"3,11,499"
40,Maruti Alto K10 VXI AMT,Chennai,2016,"14,006",Petrol,2nd,"3,86,099"
41,Hyundai i10 SPORTZ 1.2 AT KAPPA2,Chennai,2012,"14,581",Petrol,1st,"3,67,099"
42,Maruti Alto 800 LXI,Chennai,2013,"31,372",Petrol,2nd,"2,66,799"
43,Hyundai i20 SPORTZ 1.2 VTVT,Chennai,2013,"30,494",Petrol,1st,"4,01,399"
44,Maruti Alto K10 VXI,Chennai,2011,"53,962",Petrol,1st,"2,44,799"
45,Hyundai i10 MAGNA 1.2 KAPPA2,Chennai,2012,"34,364",Petrol,2nd,"3,48,599"
46,Maruti Alto K10 VXI,Chennai,2011,"13,977",Petrol,1st,"2,50,099"
47,Hyundai Grand i10 ASTA 1.2 VTVT,Chennai,2014,"35,058",Petrol,1st,"4,39,999"
48,Hyundai i20 MAGNA O 1.2,Chennai,2013,"26,601",Petrol,1st,"4,10,999"
49,Maruti A Star VXI ABS AT,Chennai,2012,"24,292",Petrol,1st,"2,91,899"
50,Hyundai i10 MAGNA 1.1 IRDE2,Chennai,2014,"21,428",Petrol,1st,"3,61,099"
51,Maruti Swift Dzire VXI,Chennai,2010,"49,238",Petrol,2nd,"3,10,699"
52,Maruti OMNI E 8 STR,Chennai,2017,"26,568",Petrol + LPG,1st,"3,41,499"
53,Maruti Swift VXI OPT,Chennai,2016,"36,992",Petrol,1st,"5,24,699"
54,Hyundai i10 ERA 1.1 IRDE,Chennai,2010,"39,550",Petrol,1st,"2,75,599"
55,Honda Amaze 1.2 SMT I VTEC,Chennai,2015,"41,031",Petrol,1st,"4,36,699"
56,Renault Kwid RXT 1.0 EASY-R AT OPTION,Chennai,2017,"11,529",Petrol,2nd,"3,63,199"
57,Maruti Alto K10 VXI,Chennai,2018,"9,635",Petrol,1st,"3,53,799"
58,Maruti IGNIS ALPHA 1.2 K12 DUAL TONE,Chennai,2017,"16,798",Petrol,1st,"5,10,599"
59,Maruti Wagon R 1.0 VXI,Chennai,2013,"48,821",Petrol,1st,"3,73,199"
60,Fiat PUNTO PURE 1.2 Fire,Chennai,2016,"23,713",Petrol,1st,"3,93,599"
61,Maruti OMNI E 8 STR,Chennai,2017,"14,867",Petrol,1st,"3,39,199"
62,Hyundai i10 MAGNA 1.1 IRDE2,Chennai,2014,"49,378",Petrol,1st,"3,70,399"
63,Maruti Alto LXI,Chennai,2012,"50,410",Petrol,1st,"2,12,199"
64,Maruti Wagon R 1.0 VXI,Chennai,2011,"61,576",Petrol,1st,"3,35,999"
65,Maruti OMNI E 8 STR,Chennai,2018,"15,762",Petrol,1st,"3,16,599"
66,Ford Figo 1.2 EXI DURATEC,Chennai,2010,"42,656",Petrol,1st,"2,67,699"
67,Maruti Swift VXI,Chennai,2014,"3,423",Petrol,1st,"4,75,199"
68,Maruti Eeco 5 STR WITH AC PLUSHTR,Chennai,2020,"13,035",Petrol,1st,"4,64,999"
69,Tata Bolt XT REVOTRON,Chennai,2014,"42,714",Petrol,3rd,"3,79,499"
70,Maruti Wagon R 1.0 VXI,Chennai,2017,"24,401",Petrol,1st,"4,17,499"
71,Maruti Wagon R 1.0 VXI AMT,Chennai,2016,"40,232",Petrol,1st,"3,90,399"
72,Hyundai i10 MAGNA 1.2,Chennai,2009,"31,179",Petrol,1st,"2,81,799"
73,Maruti Wagon R 1.0 VXI,Chennai,2016,"33,463",Petrol,1st,"4,02,399"
74,Hyundai i20 MAGNA O 1.2,Chennai,2010,"50,497",Petrol,2nd,"3,21,499"
75,Hyundai i10 MAGNA 1.2 KAPPA2,Chennai,2012,"48,440",Petrol,1st,"3,22,399"
76,Hyundai Elite i20 ASTA 1.2,Chennai,2018,"22,562",Petrol,1st,"6,43,199"
77,Honda Brio 1.2 VX AT I VTEC,Chennai,2015,"37,667",Petrol,2nd,"4,20,499"
78,Maruti Wagon R 1.0 VXI,Chennai,2016,"32,196",Petrol,1st,"4,01,999"
79,Maruti Alto 800 LXI,Chennai,2013,"26,489",Petrol,1st,"2,21,799"
80,Maruti Swift VDI,Chennai,2011,"62,313",Diesel,2nd,"3,71,899"
81,Maruti Alto 800 LXI,Chennai,2013,"44,177",Petrol,1st,"2,86,799"
82,Hyundai Grand i10 MAGNA 1.2 VTVT,Chennai,2013,"32,063",Petrol,1st,"3,74,799"
83,Maruti OMNI E 8 STR,Chennai,2017,"4,687",Petrol,1st,"2,93,899"
84,Maruti Swift LXI OPT,Chennai,2015,"37,686",Petrol,2nd,"3,64,799"
85,Maruti Celerio ZXI,Chennai,2016,"39,027",Petrol,1st,"4,09,999"
86,Maruti Alto 800 LXI,Chennai,2017,"25,712",Petrol,1st,"3,08,299"
87,Maruti Celerio VXI AMT,Chennai,2014,"27,544",Petrol,2nd,"3,80,899"
88,Hyundai i20 SPORTZ 1.2 VTVT,Chennai,2014,"33,697",Petrol,2nd,"4,22,199"
89,Hyundai Grand i10 ASTA 1.2 VTVT,Chennai,2017,"22,130",Petrol,1st,"5,11,399"
90,Maruti Eeco 5 STR WITH AC PLUSHTR,Chennai,2019,"6,840",Petrol,1st,"4,60,799"
91,Maruti Swift Dzire VXI 1.2 BS IV,Chennai,2013,"43,859",Petrol,1st,"4,58,299"
