,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
0,Maruti Alto K10 VXI,Delhi,2011,"20,354",Petrol,1st,"2,10,999"
1,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Delhi,2016,"19,017",Petrol,2nd,"3,96,399"
2,Maruti Eeco 5 STR WITH AC PLUSHTR,Delhi,2019,"8,454",Petrol,1st,"4,22,099"
3,Maruti Ritz VXI BS IV,Delhi,2014,"35,218",Petrol,1st,"2,79,399"
4,Maruti Swift LXI,Delhi,2014,"23,888",Petrol,1st,"4,57,899"
5,Maruti Swift VDI,Delhi,2012,"30,589",Diesel,1st,"3,09,799"
6,Maruti Alto K10 VXI,Delhi,2010,"41,190",Petrol,1st,"1,76,199"
7,Tata Tiago XZ 1.2 REVOTRON,Delhi,2018,"12,582",Petrol,2nd,"4,26,499"
8,Maruti Ritz VDI,Delhi,2012,"41,213",Diesel,1st,"2,43,899"
9,Maruti Alto LXI,Delhi,2010,"29,645",Petrol,1st,"1,85,299"
10,Maruti Wagon R 1.0 VXI,Delhi,2013,"36,501",Petrol,2nd,"2,52,399"
11,Hyundai Eon D LITE PLUS,Delhi,2013,"25,909",Petrol,2nd,"2,03,599"
12,Maruti Ritz VDI Elate Limited Edition,Delhi,2014,"29,959",Diesel,1st,"3,79,699"
13,Maruti Alto 800 VXI,Delhi,2014,"38,526",Petrol,2nd,"2,24,099"
14,Maruti Swift LXI,Delhi,2012,"31,999",Petrol,1st,"3,20,999"
15,Maruti Alto 800 VXI,Delhi,2014,"37,134",Petrol,1st,"2,56,399"
16,Maruti Swift Dzire VXI 1.2 BS IV,Delhi,2014,"34,580",Petrol,1st,"4,11,799"
17,Maruti Alto K10 LXI,Delhi,2014,"31,013",Petrol,1st,"2,43,499"
18,Maruti Alto 800 LXI,Delhi,2014,"16,339",Petrol,1st,"2,29,099"
19,Maruti Alto K10 VXI,Delhi,2016,"27,250",Petrol,2nd,"2,80,099"
20,Maruti Swift VDI,Delhi,2014,"44,528",Diesel,1st,"3,69,999"
21,Ford Figo 1.2 TITANIUM DURATEC,Delhi,2015,"31,800",Petrol,1st,"3,59,299"
22,Maruti Alto 800 VXI,Delhi,2014,"42,796",Petrol,1st,"2,42,099"
23,Maruti Alto K10 LXI,Delhi,2012,"33,175",Petrol,1st,"2,42,999"
24,Datsun Redi Go S,Delhi,2016,"21,191",Petrol,1st,"2,54,599"
25,Maruti Alto 800 LXI,Delhi,2018,"15,838",Petrol,1st,"3,18,799"
26,Maruti Ritz ZXI,Delhi,2010,"41,832",Petrol,1st,"2,51,999"
27,Maruti Swift VDI,Delhi,2013,"45,014",Diesel,1st,"3,57,099"
28,Maruti Alto LXI,Delhi,2020,"9,641",Petrol,1st,"3,29,999"
29,Maruti Alto 800 LXI,Delhi,2013,"50,250",Petrol,1st,"1,96,599"
30,Maruti Swift VDI,Delhi,2013,"45,478",Diesel,1st,"3,29,299"
31,Maruti Alto LXI,Delhi,2011,"38,478",Petrol,1st,"1,88,099"
32,Maruti Swift Dzire VDI BS IV,Delhi,2013,"39,947",Diesel,1st,"4,02,599"
33,Maruti Swift Dzire ZXI 1.3,Delhi,2010,"45,983",Petrol,1st,"3,01,699"
34,Hyundai Grand i10 MAGNA 1.2 VTVT,Delhi,2018,"25,666",Petrol,1st,"4,56,399"
35,Maruti Alto K10 LXI,Delhi,2016,"32,519",Petrol,1st,"2,97,699"
36,Hyundai Eon MAGNA PLUS,Delhi,2015,"44,875",Petrol,1st,"2,75,299"
37,Maruti Alto 800 LXI,Delhi,2016,"21,305",Petrol,1st,"3,21,999"
38,Hyundai Grand i10 MAGNA 1.2 VTVT,Delhi,2018,"24,808",Petrol,1st,"4,47,499"
39,Hyundai Grand i10 MAGNA 1.2 VTVT,Delhi,2013,"43,986",Petrol,1st,"3,89,499"
40,Maruti Wagon R 1.0 LXI,Delhi,2015,"41,796",Petrol,3rd,"2,79,399"
41,Maruti Swift VDI,Delhi,2012,"47,140",Diesel,1st,"3,29,299"
42,Maruti Zen Estilo LXI,Delhi,2010,"54,844",Petrol,2nd,"1,71,099"
43,Maruti Alto K10 VXI,Delhi,2018,"3,212",Petrol,1st,"3,70,099"
44,Maruti Ritz ZXI ABS,Delhi,2012,"39,650",Petrol,1st,"2,91,599"
45,Hyundai i10 SPORTZ 1.2 KAPPA2,Delhi,2010,"35,644",Petrol,1st,"2,81,099"
46,Maruti Swift Dzire ZDI,Delhi,2012,"52,072",Diesel,1st,"3,60,499"
47,Maruti Swift VXI 1.3,Delhi,2009,"28,685",Petrol,1st,"2,09,599"
48,Maruti Alto K10 LXI,Delhi,2016,"41,948",Petrol,1st,"2,78,999"
49,Maruti Alto K10 VXI,Delhi,2015,"57,955",Petrol,1st,"2,74,199"
50,Maruti Swift LDI BS IV,Delhi,2015,"59,648",Diesel,1st,"3,68,499"
51,Hyundai i20 SPORTZ 1.2 VTVT,Delhi,2013,"51,901",Petrol,2nd,"3,44,699"
52,Hyundai Grand i10 1.2 ASTA (O) AT,Delhi,2016,"48,934",Petrol,1st,"4,53,299"
53,Maruti Alto LXI,Delhi,2009,"35,919",Petrol,1st,"1,71,699"
54,Maruti Swift VDI,Delhi,2013,"50,647",Diesel,2nd,"3,42,499"
55,Maruti Swift VDI ABS,Delhi,2015,"59,849",Diesel,1st,"4,31,699"
56,Maruti Swift VDI,Delhi,2013,"60,133",Diesel,1st,"3,50,799"
57,Hyundai Grand i10 SPORTZ 1.1 CRDI,Delhi,2015,"46,392",Diesel,1st,"3,42,399"
58,Maruti Swift VDI,Delhi,2013,"58,850",Diesel,1st,"3,35,099"
59,Nissan Terrano XV 110 DIESEL,Delhi,2013,"47,811",Diesel,1st,"4,82,299"
60,Maruti Alto LXI,Delhi,2020,"18,509",Petrol,1st,"3,14,099"
61,Honda Brio 1.2 S MT I VTEC,Delhi,2015,"58,396",Petrol,2nd,"3,40,899"
62,Volkswagen Ameo COMFORTLINE 1.0,Delhi,2019,"33,288",Petrol,1st,"4,53,899"
63,Maruti Alto K10 VXI,Delhi,2013,"21,784",Petrol,2nd,"2,31,799"
64,KIA SELTOS HTK PLUS 1.5 DIESEL,Delhi,2020,"9,197",Diesel,1st,"13,42,599"
65,Maruti Swift VDI ABS,Delhi,2015,"37,481",Diesel,1st,"4,11,999"
66,Maruti Ritz ZXI,Delhi,2014,"58,664",Petrol,1st,"3,30,999"
67,Maruti Alto LXI,Delhi,2009,"57,864",Petrol,1st,"1,38,499"
68,Honda Amaze 1.2 SMT I VTEC,Delhi,2015,"62,045",Petrol,1st,"4,38,599"
69,Maruti Swift Dzire ZXI 1.2 BS IV,Delhi,2015,"62,674",Petrol,2nd,"4,34,899"
70,Maruti Ritz VDI,Delhi,2015,"64,475",Diesel,1st,"2,94,699"
71,Honda Brio 1.2 VX AT I VTEC,Delhi,2015,"22,774",Petrol,1st,"4,20,599"
72,Volkswagen Polo HIGHLINE1.2L PETROL,Delhi,2012,"66,271",Petrol,2nd,"3,45,799"
73,Maruti Swift VDI ABS,Delhi,2015,"63,435",Diesel,1st,"4,15,199"
74,Maruti Swift LXI,Delhi,2013,"43,265",Petrol,3rd,"3,42,999"
75,Maruti Swift LXI,Delhi,2014,"61,924",Petrol,1st,"4,25,299"
76,Maruti Alto K10 VXI,Delhi,2010,"63,843",Petrol,3rd,"1,73,799"
