,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
0,Maruti Eeco 5 STR WITH AC PLUSHTR,Hyderabad,2020,"3,649",Petrol,1st,"4,55,899"
1,Maruti Alto LXI,Hyderabad,2011,"26,790",Petrol,1st,"2,37,099"
2,Maruti Alto LXI,Hyderabad,2011,"23,837",Petrol,1st,"2,34,199"
3,Maruti Wagon R 1.0 VXI,Hyderabad,2014,"23,233",Petrol,2nd,"3,57,399"
4,Maruti Alto K10 LXI,Hyderabad,2011,"47,330",Petrol,2nd,"2,28,099"
5,Maruti Ritz VXI BS IV,Hyderabad,2011,"19,662",Petrol,1st,"3,00,499"
6,Maruti Wagon R 1.0 VXI,Hyderabad,2011,"61,836",Petrol,2nd,"3,01,199"
7,Maruti Zen Estilo VXI,Hyderabad,2010,"21,096",Petrol,1st,"2,59,899"
8,Maruti Alto LXI,Hyderabad,2012,"28,434",Petrol,1st,"2,46,299"
9,Maruti Swift VXI,Hyderabad,2011,"46,592",Petrol,1st,"3,95,899"
10,Maruti Alto 800 LXI,Hyderabad,2014,"27,884",Petrol,1st,"2,61,999"
11,Maruti Alto LXI,Hyderabad,2011,"31,119",Petrol,1st,"2,39,299"
12,Maruti Alto LXI,Hyderabad,2012,"21,215",Petrol,1st,"2,53,199"
13,Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2013,"55,302",Petrol,1st,"3,49,499"
14,Maruti Alto LXI,Hyderabad,2011,"23,658",Petrol,1st,"2,26,599"
15,Maruti Alto K10 VXI,Hyderabad,2012,"28,852",Petrol,2nd,"2,80,599"
16,Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2013,"35,377",Petrol,1st,"3,67,199"
17,Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2012,"44,883",Petrol,1st,"3,27,499"
18,Maruti Alto LXI,Hyderabad,2011,"35,039",Petrol,1st,"2,24,899"
19,Maruti Alto K10 LXI,Hyderabad,2011,"56,816",Petrol,1st,"2,15,299"
20,Maruti Alto LXI,Hyderabad,2012,"37,800",Petrol,1st,"2,64,099"
21,Hyundai i10 MAGNA 1.2 KAPPA2,Hyderabad,2011,"35,533",Petrol,1st,"2,99,899"
22,Maruti Alto 800 VXI,Hyderabad,2015,"25,048",Petrol,2nd,"2,90,099"
23,Maruti Wagon R 1.0 VXI,Hyderabad,2010,"65,373",Petrol,1st,"2,89,999"
24,Maruti Ritz VXI BS IV,Hyderabad,2012,"50,307",Petrol,1st,"3,37,499"
25,Maruti Alto K10 LXI,Hyderabad,2011,"47,359",Petrol,2nd,"2,25,599"
