,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
0,Maruti S PRESSO VXI PLUS,Kolkata,2020,"8,920",Petrol,1st,"4,14,899"
1,Maruti Swift ZXI,Kolkata,2017,"18,140",Petrol,1st,"4,57,699"
2,Honda Amaze 1.2 SMT I VTEC,Kolkata,2014,"36,166",Petrol,1st,"3,16,499"
3,Maruti Wagon R Stingray VXI,Kolkata,2013,"22,008",Petrol,1st,"3,13,199"
4,Hyundai Xcent S 1.2,Kolkata,2015,"17,573",Petrol,1st,"3,53,599"
5,Hyundai Eon MAGNA,Kolkata,2011,"53,972",Petrol,1st,"1,98,999"
6,Maruti Wagon R Stingray VXI,Kolkata,2014,"25,852",Petrol,1st,"3,17,299"
7,Honda City S MT PETROL,Kolkata,2010,"49,746",Petrol,1st,"2,27,199"
8,Maruti Alto 800 LXI,Kolkata,2018,"3,697",Petrol,1st,"2,94,899"
9,Maruti Alto VXI,Kolkata,2019,"1,306",Petrol,1st,"3,64,999"
10,Maruti Alto VXI,Kolkata,2019,"2,000",Petrol,1st,"3,63,599"
11,Hyundai Elite i20 Magna Executive 1.2,Kolkata,2017,"20,647",Petrol,1st,"4,82,599"
12,Hyundai Eon D LITE PLUS,Kolkata,2014,"62,278",Petrol,1st,"2,31,399"
13,Hyundai Grand i10 MAGNA 1.1 CRDI,Kolkata,2016,"56,779",Diesel,1st,"3,61,799"
14,Maruti Vitara Brezza VDI,Kolkata,2019,"18,189",Diesel,2nd,"7,37,799"
15,Maruti Swift VXI OPT,Kolkata,2017,"43,860",Petrol,1st,"4,06,499"
16,Hyundai i10 MAGNA 1.2 KAPPA2,Kolkata,2011,"83,862",Petrol,1st,"1,98,599"
17,Maruti Alto K10 VXI,Kolkata,2018,"43,650",Petrol,1st,"3,27,199"
18,Maruti Swift VXI,Kolkata,2013,"78,261",Petrol,1st,"3,00,599"
19,Hyundai Elite i20 SPORTZ 1.2,Kolkata,2017,"52,065",Petrol,2nd,"4,89,099"
20,Maruti Vitara Brezza ZDI PLUS DUAL TONE,Kolkata,2016,"54,938",Diesel,1st,"7,02,099"
21,Hyundai Grand i10 MAGNA 1.2 VTVT,Kolkata,2015,"9,690",Petrol,1st,"3,83,999"
22,Volkswagen Polo COMFORTLINE 1.2L PETROL,Kolkata,2016,"12,967",Petrol,1st,"4,44,799"
23,Maruti Alto 800 LXI,Kolkata,2017,"11,705",Petrol,1st,"2,59,499"
24,Maruti Wagon R 1.0 VXI,Kolkata,2010,"27,498",Petrol,1st,"2,13,699"
25,Maruti Alto 800 LXI,Kolkata,2016,"17,604",Petrol,3rd,"2,42,599"
26,Hyundai Grand i10 SPORTS 1.2 VTVT,Kolkata,2015,"32,515",Petrol,1st,"3,73,099"
27,Hyundai Eon D LITE PLUS,Kolkata,2013,"49,336",Petrol,1st,"1,93,099"
28,Hyundai Elite i20 ASTA 1.2,Kolkata,2017,"16,495",Petrol,1st,"5,43,899"
29,Hyundai i20 SPORTZ 1.4 CRDI,Kolkata,2013,"60,553",Diesel,2nd,"3,02,699"
30,Hyundai i20 MAGNA O 1.2,Kolkata,2012,"58,634",Petrol,1st,"2,73,299"
31,Hyundai i10 MAGNA 1.2 KAPPA2,Kolkata,2011,"74,680",Petrol,1st,"2,03,299"
32,Hyundai Verna 1.6 SX VTVT (O),Kolkata,2017,"10,263",Petrol,1st,"8,14,399"
33,Maruti Baleno DELTA 1.2 K12,Kolkata,2018,"43,678",Petrol,1st,"5,45,399"
34,Honda Jazz 1.2 V AT,Kolkata,2016,"84,655",Petrol,1st,"5,26,299"
35,Honda BR-V 1.5 i- DTEC V,Kolkata,2017,"59,438",Diesel,1st,"5,86,199"
