,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
0,Hyundai i10 MAGNA 1.1 IRDE2,Mumbai,2014,"13,068",Petrol,1st,"3,64,199"
1,Maruti Wagon R 1.0 VXI,Mumbai,2015,"9,357",Petrol,1st,"3,37,699"
2,Maruti Swift Dzire VXI,Mumbai,2009,"42,533",Petrol,2nd,"2,72,299"
3,Hyundai Xcent S 1.2,Mumbai,2014,"28,423",Petrol,2nd,"3,86,699"
4,Hyundai Grand i10 SPORTS 1.2 VTVT,Mumbai,2014,"25,150",Petrol,1st,"4,09,399"
5,Maruti Wagon R 1.0 VXI,Mumbai,2010,"48,299",Petrol,2nd,"2,75,599"
6,Honda Amaze 1.2 SMT I VTEC,Mumbai,2014,"24,048",Petrol,1st,"4,41,199"
7,Maruti Wagon R 1.0 VXI,Mumbai,2013,"39,011",Petrol,1st,"2,84,399"
8,Hyundai i10 MAGNA,Mumbai,2008,"36,986",Petrol,2nd,"1,72,299"
9,Hyundai i10 MAGNA 1.2 KAPPA2,Mumbai,2012,"39,357",Petrol,1st,"2,80,699"
10,Honda Brio 1.2 S MT I VTEC,Mumbai,2012,"13,567",Petrol,3rd,"3,08,599"
11,Maruti Ritz LXI,Mumbai,2011,"33,412",Petrol,1st,"2,61,799"
12,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Mumbai,2016,"21,970",Petrol,2nd,"4,23,999"
13,Maruti Wagon R 1.0 LXI,Mumbai,2013,"13,688",Petrol,1st,"3,26,199"
14,Maruti Wagon R VXI,Mumbai,2011,"26,689",Petrol,1st,"3,17,599"
15,Honda Brio 1.2 S MT I VTEC,Mumbai,2012,"19,373",Petrol,1st,"3,17,699"
16,Maruti Ritz ZXI,Mumbai,2010,"54,654",Petrol,2nd,"2,64,799"
17,Hyundai Santro Xing GLS,Mumbai,2012,"43,847",Petrol,3rd,"2,00,299"
18,Maruti Alto K10 VXI AMT,Mumbai,2016,"13,851",Petrol,1st,"3,48,399"
19,Maruti Wagon R 1.0 LXI,Mumbai,2012,"20,712",Petrol,2nd,"2,58,399"
20,Maruti Wagon R 1.0 VXI,Mumbai,2014,"11,365",Petrol,1st,"3,65,899"
21,Maruti Wagon R 1.0 VXI,Mumbai,2012,"39,652",Petrol,3rd,"2,82,999"
22,Maruti Celerio VXI,Mumbai,2014,"15,206",Petrol,1st,"3,60,999"
23,Maruti A Star VXI ABS AT,Mumbai,2012,"39,141",Petrol,1st,"3,03,099"
24,Hyundai i20 Active 1.2 S,Mumbai,2016,"17,868",Petrol,2nd,"5,15,599"
25,Maruti Wagon R 1.0 VXI,Mumbai,2014,"6,858",Petrol,1st,"3,58,399"
26,Hyundai Elite i20 MAGNA 1.2,Mumbai,2016,"18,043",Petrol,2nd,"5,20,699"
27,Volkswagen Polo HIGHLINE1.2L PETROL,Mumbai,2011,"42,836",Petrol,3rd,"2,86,399"
28,Hyundai i10 MAGNA 1.2 KAPPA2,Mumbai,2011,"43,411",Petrol,2nd,"2,42,999"
29,Maruti Alto K10 VXI,Mumbai,2011,"47,057",Petrol,1st,"1,96,599"
30,Hyundai i10 MAGNA 1.2 KAPPA2,Mumbai,2011,"47,607",Petrol,1st,"2,47,399"
31,Maruti Alto 800 LXI,Mumbai,2015,"3,370",Petrol,1st,"2,70,099"
32,Maruti Alto K10 VXI AMT,Mumbai,2016,"15,395",Petrol,1st,"3,22,999"
33,Maruti Alto 800 LXI,Mumbai,2017,"20,192",Petrol,1st,"2,94,999"
34,Maruti Wagon R 1.0 VXI,Mumbai,2015,"13,522",Petrol,1st,"3,64,299"
35,Maruti Alto 800 LXI,Mumbai,2017,"12,009",Petrol,1st,"2,80,299"
36,Maruti Wagon R 1.0 VXI,Mumbai,2012,"40,091",Petrol,1st,"2,95,599"
