,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
0,Maruti Alto K10 VXI,Pune,2014,"18,680",Petrol,1st,"2,65,599"
1,Maruti Alto 800 LXI,Pune,2015,"30,242",Petrol,1st,"2,54,199"
2,Ford Figo 1.2 ZXI DURATEC,Pune,2013,"22,618",Petrol,2nd,"2,40,099"
3,Maruti Alto LXI,Pune,2012,"12,377",Petrol,1st,"2,07,799"
4,Maruti A Star VXI,Pune,2010,"25,211",Petrol,2nd,"2,21,699"
5,Hyundai Xcent SX 1.2,Pune,2014,"23,325",Petrol,2nd,"4,60,899"
6,Hyundai i10 MAGNA 1.2 KAPPA2,Pune,2011,"39,413",Petrol,1st,"2,51,499"
7,Honda Brio 1.2 E MT I VTEC,Pune,2012,"40,636",Petrol,1st,"2,45,999"
8,Maruti Alto LXI,Pune,2011,"48,837",Petrol,1st,"1,91,899"
9,Volkswagen Polo COMFORTLINE 1.2L PETROL,Pune,2011,"38,579",Petrol,1st,"2,91,499"
10,Volkswagen Vento TRENDLINE PETROL,Pune,2011,"31,578",Petrol,1st,"3,18,199"
11,Hyundai Verna FLUIDIC 1.6 VTVT S (O)  MT,Pune,2015,"25,274",Petrol,1st,"5,23,799"
12,Hyundai i10 MAGNA 1.2,Pune,2010,"39,989",Petrol,1st,"2,02,299"
13,Maruti Wagon R 1.0 VXI,Pune,2012,"37,135",Petrol,1st,"2,82,499"
14,Maruti Dzire ZXI Plus,Pune,2020,"1,447",Petrol,1st,"8,11,199"
15,Hyundai Santro Xing GLS,Pune,2011,"67,685",Petrol,2nd,"1,79,099"
16,Volkswagen Polo COMFORTLINE 1.2L PETROL,Pune,2011,"39,230",Petrol,2nd,"2,78,699"
17,Hyundai Grand i10 SPORTS 1.2 VTVT,Pune,2014,"35,944",Petrol,1st,"3,80,999"
18,Maruti Alto K10 LXI,Pune,2010,"44,143",Petrol,3rd,"2,04,999"
19,Maruti Alto 800 LXI,Pune,2015,"37,164",Petrol,2nd,"2,53,499"
20,Honda City S MT PETROL,Pune,2010,"41,911",Petrol,1st,"3,48,299"
21,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Pune,2016,"21,840",Petrol,2nd,"4,17,099"
22,Hyundai i20 MAGNA O 1.2,Pune,2011,"58,202",Petrol,2nd,"3,23,399"
