Year,Age,Kilometers_Driven,Transmission_Numeric,Owner_Type,Mileage,Engine(CC),Power(bhp),Seats,Price in Lakhs,Ambassador,Audi,BMW,Bentley,Chevrolet,Datsun,Fiat,Force,Ford,Honda,Hyundai,ISUZU,Isuzu,Jaguar,Jeep,Lamborghini,Land,Mahindra,Maruti,Mercedes-Benz,Mini,Mitsubishi,Nissan,Porsche,Renault,Skoda,Smart,Tata,Toyota,Volkswagen,Volvo,Audi A4 2.0 TDI,Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi A6 2011-2015 2.0 TDI Premium Plus,Audi Q7 3.0 TDI Quattro Premium Plus,BMW 3 Series 320d,BMW 3 Series 320d Luxury Line,BMW 5 Series 520d Luxury Line,BMW X1 sDrive20d,Chevrolet Beat LS,Chevrolet Beat LT,Ford Ecosport 1.5 DV5 MT Titanium,Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford Figo Diesel EXI,Ford Figo Diesel Titanium,Ford Figo Diesel ZXI,Ford Figo Petrol ZXI,Honda Amaze S i-Dtech,Honda Amaze S i-Vtech,Honda Amaze VX i-DTEC,Honda Brio S MT,Honda City 1.5 S MT,Honda City 1.5 V MT,Honda City i DTEC VX,Honda City i VTEC CVT VX,Honda City i VTEC SV,Honda City i VTEC V,Hyundai Creta 1.6 CRDi SX,Hyundai Creta 1.6 CRDi SX Option,Hyundai EON D Lite Plus,Hyundai EON Era Plus,Hyundai Grand i10 1.2 Kappa Sportz,Hyundai Grand i10 AT Asta,Hyundai Grand i10 Asta,Hyundai Grand i10 CRDi Magna,Hyundai Grand i10 CRDi Sportz,Hyundai Grand i10 Sportz,Hyundai Santro Xing GLS,Hyundai Verna 1.6 SX,Hyundai Verna 1.6 SX CRDi (O),Hyundai Verna 1.6 SX VTVT,Hyundai Verna 1.6 SX VTVT (O),Hyundai i10 Era,Hyundai i10 Magna,Hyundai i10 Magna 1.2,Hyundai i10 Sportz,Hyundai i10 Sportz 1.2,Hyundai i20 1.2 Magna,Hyundai i20 1.2 Sportz,Hyundai i20 Asta 1.4 CRDi,Hyundai i20 Asta Option 1.2,Hyundai i20 Sportz 1.2,Hyundai i20 Sportz 1.4 CRDi,Jaguar XF 2.2 Litre Luxury,Mahindra XUV500 W10 2WD,Mahindra XUV500 W6 2WD,Mahindra XUV500 W8 2WD,Mahindra XUV500 W8 4WD,Maruti Alto 800 2016-2019 LXI,Maruti Alto 800 LXI,Maruti Alto K10 2010-2014 VXI,Maruti Alto K10 VXI,Maruti Alto LXi,Maruti Alto LXi BSIII,Maruti Celerio VXI AT,Maruti Ertiga VDI,Maruti Ertiga ZDI,Maruti Ritz VDi,Maruti Swift Dzire LDI,Maruti Swift Dzire VDI,Maruti Swift Dzire VDi,Maruti Swift Dzire VXI,Maruti Swift Dzire VXi,Maruti Swift VDI,Maruti Swift VDI BSIV,Maruti Swift VXI BSIV,Maruti Swift ZDi,Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti Wagon R LXI,Maruti Wagon R LXI BS IV,Maruti Wagon R LXI CNG,Maruti Wagon R VXI,Maruti Wagon R VXI BS IV,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Other,Renault Duster 110PS Diesel RxZ,Renault Duster 85PS Diesel RxL,Renault KWID RXT,Skoda Superb Elegance 1.8 TSI AT,Toyota Fortuner 3.0 Diesel,Toyota Fortuner 4x2 AT,Toyota Fortuner 4x2 Manual,Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota Innova 2.5 V Diesel 7-seater,Toyota Innova Crysta 2.8 ZX AT,Volkswagen Polo 1.2 MPI Highline,Volkswagen Polo 1.5 TDI Highline,Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen Polo Diesel Highline 1.2L,Volkswagen Polo Diesel Trendline 1.2L,Volkswagen Polo Petrol Comfortline 1.2L,Volkswagen Polo Petrol Highline 1.2L,Volkswagen Vento 1.5 TDI Highline,Volkswagen Vento Diesel Highline,Volkswagen Vento Petrol Highline,Ahmedabad,Bangalore,Chennai,Coimbatore,Delhi,Hyderabad,Jaipur,Kochi,Kolkata,Mumbai,Pune,CNG,Diesel,Electric,LPG,Petrol
2010,11,72000.0,1,1,26.6,998,58.16,5.0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2015,6,41000.0,1,1,19.67,1582,126.2,5.0,12.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2011,10,46000.0,1,1,18.2,1199,88.7,5.0,4.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,9,87000.0,1,1,20.77,1248,88.76,7.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,8,40670.0,0,2,15.2,1968,140.8,5.0,17.74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2012,9,75000.0,1,1,21.1,814,55.2,5.0,2.35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2013,8,86999.0,1,1,23.08,1461,63.1,5.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2016,5,36000.0,0,1,11.36,2755,171.5,8.0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2013,8,64430.0,1,1,20.54,1598,103.6,5.0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2012,9,65932.0,1,2,22.3,1248,74.0,5.0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
