Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
Maruti Alto LXI,Ahemdabad,2020,"2,016",Petrol,1st,"3,31,499"
Maruti Wagon R 1.0 LXI,Ahemdabad,2014,"34,395",Petrol,2nd,"3,11,499"
Maruti Swift LXI,Ahemdabad,2019,"8,372",Petrol,1st,"5,38,199"
Hyundai Elite i20 ASTA 1.2,Ahemdabad,2015,"23,973",Petrol,1st,"5,48,099"
Maruti Alto LXI,Ahemdabad,2020,"3,772",Petrol,1st,"3,94,999"
Maruti Wagon R 1.0 LXI,Ahemdabad,2012,"20,671",Petrol,2nd,"2,69,199"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2018,"15,805",Petrol + CNG,1st,"4,18,099"
Hyundai i20 MAGNA O 1.2,Ahemdabad,2013,"30,045",Petrol,1st,"3,71,099"
Maruti Alto 800 LXI,Ahemdabad,2018,"11,798",Petrol,1st,"3,34,899"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2020,"1,999",Petrol,1st,"4,99,299"
Maruti Swift Dzire VXI 1.2 BS IV,Ahemdabad,2014,"29,375",Petrol,1st,"4,75,599"
Hyundai VENUE S MT 1.2 KAPPA,Ahemdabad,2020,"1,420",Petrol,1st,"8,41,699"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2020,"3,822",Petrol,1st,"4,52,299"
Maruti Alto K10 VXI,Ahemdabad,2017,"22,167",Petrol,2nd,"2,97,199"
Maruti Alto 800 LXI,Ahemdabad,2019,"14,436",Petrol,1st,"3,26,399"
Maruti Alto 800 LXI,Ahemdabad,2017,"5,800",Petrol,1st,"3,01,199"
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Ahemdabad,2018,"19,533",Petrol,1st,"5,20,399"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2018,"13,239",Petrol + CNG,1st,"4,38,399"
Maruti Wagon R 1.0 LXI,Ahemdabad,2012,"49,827",Petrol,1st,"2,32,899"
Maruti Alto 800 LXI,Ahemdabad,2018,"3,223",Petrol,1st,"3,35,399"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2019,"12,028",Petrol,1st,"4,81,299"
Maruti Alto LXI,Ahemdabad,2020,"4,736",Petrol,1st,"3,67,499"
Maruti Alto 800 LXI,Ahemdabad,2018,"3,237",Petrol,1st,"3,39,499"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2017,"33,559",Petrol + CNG,1st,"4,20,299"
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Ahemdabad,2015,"46,375",Petrol,1st,"4,17,899"
Maruti Swift Dzire VXI 1.2 BS IV,Ahemdabad,2015,"47,504",Petrol,1st,"4,52,899"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2020,"6,094",Petrol,1st,"4,94,599"
Maruti Alto 800 LXI,Ahemdabad,2013,"51,970",Petrol,2nd,"2,24,299"
Maruti Alto 800 LXI,Ahemdabad,2018,"6,662",Petrol,1st,"3,23,599"
Maruti Alto 800 LXI,Ahemdabad,2017,"5,475",Petrol,1st,"3,06,699"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2017,"12,252",Petrol + CNG,1st,"4,04,999"
Maruti Alto LXI,Ahemdabad,2020,"4,317",Petrol,1st,"3,82,899"
Maruti Celerio ZXI,Ahemdabad,2018,"8,663",Petrol,1st,"4,67,999"
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Ahemdabad,2017,"9,582",Petrol,1st,"4,87,999"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2020,"16,508",Petrol,1st,"4,56,699"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2018,"11,995",Petrol,1st,"4,35,199"
Maruti Alto LXI,Ahemdabad,2020,"1,322",Petrol,1st,"3,71,799"
Maruti OMNI E STD,Ahemdabad,2016,"36,378",Petrol,1st,"2,02,799"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2019,"18,973",Petrol,1st,"4,60,999"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2018,"18,005",Petrol,1st,"4,20,899"
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Ahemdabad,2019,"5,412",Petrol,1st,"5,93,499"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2019,"4,075",Petrol,1st,"4,62,299"
Maruti Swift Dzire VXI 1.2 BS IV,Ahemdabad,2016,"8,161",Petrol,1st,"5,64,999"
Maruti Swift VXI,Ahemdabad,2015,"53,233",Petrol,2nd,"4,44,499"
Maruti Swift VXI,Ahemdabad,2014,"45,422",Petrol,2nd,"4,32,299"
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Ahemdabad,2016,"32,666",Petrol,1st,"4,68,199"
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Ahemdabad,2018,"10,051",Petrol,1st,"4,96,399"
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Ahemdabad,2017,"18,302",Petrol,1st,"4,78,299"
Hyundai i20 Active 1.2 S,Ahemdabad,2015,"45,456",Petrol,1st,"5,20,299"
Maruti Swift VXI,Ahemdabad,2015,"30,905",Petrol,1st,"4,38,899"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2020,"16,285",Petrol,1st,"4,68,099"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2017,"78,684",Petrol + CNG,1st,"3,93,299"
Maruti Celerio ZXI,Ahemdabad,2018,"26,391",Petrol + CNG,2nd,"4,46,299"
Maruti Alto 800 LXI,Ahemdabad,2015,"29,108",Petrol,1st,"2,85,405"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2020,648,Petrol,1st,"4,99,099"
Hyundai Xcent E PLUS,Ahemdabad,2017,"18,941",Petrol,1st,"5,00,699"
Renault Kwid RXL,Ahemdabad,2019,"16,133",Petrol,1st,"3,64,099"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2017,"17,945",Petrol,1st,"4,03,199"
Maruti Alto LXI,Ahemdabad,2020,"11,664",Petrol,1st,"3,62,499"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2017,"32,968",Petrol,1st,"3,71,199"
Maruti Vitara Brezza VDI,Ahemdabad,2018,"20,891",Diesel,1st,"7,52,899"
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Ahemdabad,2017,"25,676",Petrol,1st,"4,72,299"
Hyundai Santro Xing GL PLUS,Ahemdabad,2012,"60,697",Petrol,1st,"2,61,199"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2017,"35,744",Petrol + CNG,1st,"3,74,199"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2019,"3,540",Petrol,1st,"4,90,899"
Maruti Ertiga ZXI Plus SHVS,Ahemdabad,2019,"4,462",Petrol,1st,"9,73,399"
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Ahemdabad,2018,"26,152",Petrol,1st,"4,83,599"
Maruti Swift VXI,Ahemdabad,2019,"4,543",Petrol,1st,"6,00,799"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2020,749,Petrol,1st,"4,82,899"
Maruti Alto 800 LXI,Ahemdabad,2018,"23,354",Petrol,1st,"2,99,399"
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Ahemdabad,2017,"38,764",Petrol,1st,"4,65,999"
Hyundai i20 MAGNA 1.2 VTVT,Ahemdabad,2009,"37,821",Petrol,2nd,"2,58,799"
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Ahemdabad,2018,"10,288",Petrol,1st,"4,95,999"
Hyundai VENUE S MT 1.2 KAPPA,Ahemdabad,2020,"9,730",Petrol,1st,"8,41,399"
Maruti Alto 800 LXI,Ahemdabad,2013,"49,903",Petrol,1st,"2,51,099"
Maruti Swift VXI,Ahemdabad,2019,"2,430",Petrol,1st,"6,15,299"
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Ahemdabad,2019,"5,748",Petrol,1st,"5,80,999"
